round,train_logloss,valid_logloss
206,0.27491481728455425,0.2753138212660961
207,0.27486523609177543,0.27528224713239186
208,0.2748159527807767,0.27523828632795694
209,0.2747591742791074,0.2752112450873706
210,0.2747111025179579,0.27516567438468276
211,0.27466503942833287,0.27513006780935767
212,0.2746090120153859,0.2750930870244505
213,0.2745577079505439,0.2750389509418211
214,0.2745187742934063,0.2750146955754617
215,0.27446976631994535,0.27497059100449905
216,0.2744201529945068,0.27493336251236744
217,0.2743755808344836,0.27490140187878437
218,0.2743279895608428,0.2748555469596004
219,0.2742839334392641,0.2748319420928191
220,0.2742423329464383,0.27480456354660016
221,0.27418974350664266,0.2747686050867708
222,0.27414287502540396,0.27474297264165054
223,0.2741023486097923,0.2747188747376345
224,0.27405996687830486,0.2746839148564909
225,0.2740094625142128,0.27465885529492107
226,0.27396463590509446,0.27464468410642345
227,0.27392116618353174,0.2746153916887444
228,0.27387570533290134,0.2745774262990104
229,0.2738412970050859,0.27454908597961464
230,0.2737994442455881,0.2745084133199231
231,0.2737652233540729,0.27448290545735127
232,0.27372580579523836,0.2744535863502387
233,0.2736889757108072,0.27442830683136743
234,0.27365008602619206,0.27439577525589504
235,0.2736120741223287,0.27437363351009025
236,0.27357609838863495,0.2743423061725438
237,0.2735339283499209,0.2743173075928112
238,0.27349644071817564,0.27428759217476534
239,0.2734593346610948,0.27426730325164717
240,0.2734160701064889,0.2742409652934482
241,0.27337516142330237,0.27420200031287967
242,0.2733369378084849,0.2741845633388047
243,0.2733071061432038,0.27417653960500726
244,0.27326900316001806,0.27414162030619266
245,0.27323485431566713,0.2741309621839058
246,0.2732010560427311,0.27411372068618606
247,0.27316272818919096,0.2740791268809278
248,0.27312401318849294,0.2740618019799659
249,0.273085266344658,0.27403804623880607
250,0.27304615769016044,0.27402093429072144
251,0.273011060548822,0.2739929616802972
252,0.2729720141117882,0.2739619125727676
253,0.2729401847572084,0.27394030062893077
254,0.27291016672583407,0.27392569616196577
255,0.2728731639540062,0.2739081662551402
256,0.27283763595657895,0.2738857454281304
257,0.2728072635795864,0.27385843691362544
258,0.2727708385161104,0.27384051724539216
259,0.2727392533831849,0.2738246888282534
260,0.2726976491347483,0.2738108656534374
261,0.2726647508759929,0.2737863110795883
262,0.27262802922329704,0.2737641260707655
263,0.27259547276622986,0.27374190808683313
264,0.27256283373029705,0.27372878624163544
265,0.27252981047212477,0.27371326475015817
266,0.27249567271609576,0.27369858293372795
267,0.27246125328343246,0.2736814454570475
268,0.2724272546047433,0.2736582017312529
269,0.2724013982568836,0.2736385533075402
270,0.2723707937518518,0.27362485224473515
271,0.27233995107770076,0.27361574863886706
272,0.27231216308791373,0.2736009612449946
273,0.27227302680200355,0.27358249115919675
274,0.2722422559593781,0.2735756556808579
275,0.27221156316044176,0.27356777828969375
276,0.27218075266379077,0.2735547319710536
277,0.27214459443591094,0.27353902784679607
278,0.2721151366866315,0.2735101932575461
279,0.27208131754671094,0.2735000452767508
