mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,model,param_model__colsample_bytree,param_model__learning_rate,param_model__min_child_samples,param_model__num_leaves,param_model__reg_lambda,param_model__subsample
1.7185177008310955,0.30484072935594553,0.12354063987731934,0.0016234400343844819,,,,542,"{'model__colsample_bytree': np.float64(0.8608647605824367), 'model__learning_rate': np.float64(0.01721808786615112), 'model__min_child_samples': 161, 'model__n_estimators': 542, 'model__num_leaves': 22, 'model__reg_lambda': np.float64(1.1457000811140412), 'model__subsample': np.float64(0.610167650697638)}",0.4221610134008983,0.44684087785548054,0.4713631711145929,0.44678835412365725,0.020086731109161315,11,LightGBM,0.8608647605824367,0.01721808786615112,161.0,22.0,1.1457000811140412,0.610167650697638
0.834712823232015,0.18110826422668647,0.0796515941619873,0.0012889059657212234,,,,197,"{'model__colsample_bytree': np.float64(0.9250192888948996), 'model__learning_rate': np.float64(0.028148202981490813), 'model__min_child_samples': 52, 'model__n_estimators': 197, 'model__num_leaves': 62, 'model__reg_lambda': np.float64(0.5893060761114621), 'model__subsample': np.float64(0.7300733288106989)}",0.4226725842961979,0.4409752223613746,0.4675477600273528,0.4437318555616418,0.018423619245886876,12,LightGBM,0.9250192888948996,0.028148202981490813,52.0,62.0,0.5893060761114621,0.7300733288106989
2.0972123940785727,0.1066254206077559,0.14914703369140625,0.011954471919922239,,,,625,"{'model__colsample_bytree': np.float64(0.5115312125207079), 'model__learning_rate': np.float64(0.03347916827555514), 'model__min_child_samples': 189, 'model__n_estimators': 625, 'model__num_leaves': 23, 'model__reg_lambda': np.float64(0.37722705653708744), 'model__subsample': np.float64(0.6362425738131283)}",0.41367186198033207,0.43440271669180186,0.4707747643048322,0.4396164476589887,0.02360187289770318,13,LightGBM,0.5115312125207079,0.03347916827555514,189.0,23.0,0.37722705653708744,0.6362425738131283
2.7100371519724527,1.0827138507649436,0.15466928482055664,0.005759988833412625,,,,622,"{'model__colsample_bytree': np.float64(0.9462794992449889), 'model__learning_rate': np.float64(0.03462120997293593), 'model__min_child_samples': 111, 'model__n_estimators': 622, 'model__num_leaves': 46, 'model__reg_lambda': np.float64(17.632910653614964), 'model__subsample': np.float64(0.7088528997538541)}",0.4121008738023747,0.43213993988379623,0.46738515382700224,0.4372086558377244,0.022852524521761446,14,LightGBM,0.9462794992449889,0.03462120997293593,111.0,46.0,17.632910653614964,0.7088528997538541
2.268141587575277,0.9530877690675928,0.18366543451944986,0.0035725675312475733,,,,797,"{'model__colsample_bytree': np.float64(0.5078182033705969), 'model__learning_rate': np.float64(0.026509496593643846), 'model__min_child_samples': 148, 'model__n_estimators': 797, 'model__num_leaves': 31, 'model__reg_lambda': np.float64(0.10836210381029193), 'model__subsample': np.float64(0.679536961635522)}",0.4122109312975874,0.4259858865460886,0.4677022400901937,0.4352996859779566,0.023592110019692226,15,LightGBM,0.5078182033705969,0.026509496593643846,148.0,31.0,0.10836210381029193,0.679536961635522
1.6257154146830242,0.35926430581913366,0.1296993096669515,0.010882675715620287,,,,813,"{'model__colsample_bytree': np.float64(0.5290418060840998), 'model__learning_rate': np.float64(0.07348118405270448), 'model__min_child_samples': 119, 'model__n_estimators': 813, 'model__num_leaves': 10, 'model__reg_lambda': np.float64(0.11245798259119336), 'model__subsample': np.float64(0.9879639408647978)}",0.40918696246555425,0.42905742801668295,0.4626592721432993,0.4336345542085122,0.02206859818384657,16,LightGBM,0.5290418060840998,0.07348118405270448,119.0,10.0,0.11245798259119336,0.9879639408647978
1.0460196336110432,0.13791170685711054,0.09990668296813965,0.024259871782689773,,,,221,"{'model__colsample_bytree': np.float64(0.6872700594236812), 'model__learning_rate': np.float64(0.08927180304353628), 'model__min_child_samples': 126, 'model__n_estimators': 221, 'model__num_leaves': 28, 'model__reg_lambda': np.float64(0.24348773534554594), 'model__subsample': np.float64(0.662397808134481)}",0.40267086550809206,0.4245641387105635,0.46163300282854025,0.42962266901573193,0.02433550158355865,17,LightGBM,0.6872700594236812,0.08927180304353628,126.0,28.0,0.24348773534554594,0.662397808134481
3.172760009765625,0.6580019842560664,0.2333660125732422,0.017224792059367642,,,,888,"{'model__colsample_bytree': np.float64(0.864803089169032), 'model__learning_rate': np.float64(0.043406770118894), 'model__min_child_samples': 54, 'model__n_estimators': 888, 'model__num_leaves': 44, 'model__reg_lambda': np.float64(25.529874797214198), 'model__subsample': np.float64(0.9395655297064336)}",0.40136403094540085,0.4198396815438875,0.45404649955135606,0.4250834040135481,0.02182480383429951,18,LightGBM,0.864803089169032,0.043406770118894,54.0,44.0,25.529874797214198,0.9395655297064336
5.6353457768758135,0.06660562552217174,0.19701838493347168,0.020363709064532734,,,,604,"{'model__colsample_bytree': np.float64(0.5488360570031919), 'model__learning_rate': np.float64(0.04833180632488466), 'model__min_child_samples': 130, 'model__n_estimators': 604, 'model__num_leaves': 51, 'model__reg_lambda': np.float64(1.6850517723339091), 'model__subsample': np.float64(0.6137554084460873)}",0.4001797056939772,0.41732399135782117,0.45648881345543946,0.42466417016907926,0.023566750206720256,19,LightGBM,0.5488360570031919,0.04833180632488466,130.0,51.0,1.6850517723339091,0.6137554084460873
2.610934257507324,1.0713455231530438,0.18611971537272134,0.005760651322873936,,,,795,"{'model__colsample_bytree': np.float64(0.9402339195076288), 'model__learning_rate': np.float64(0.04210697554959547), 'model__min_child_samples': 81, 'model__n_estimators': 795, 'model__num_leaves': 35, 'model__reg_lambda': np.float64(9.790236510178591), 'model__subsample': np.float64(0.6746280235544143)}",0.3969676403136933,0.4184244248422688,0.4565332836336662,0.42397511626320944,0.024632283660113413,20,LightGBM,0.9402339195076288,0.04210697554959547,81.0,35.0,9.790236510178591,0.6746280235544143
3.316854476928711,0.8993610344711118,0.1959092617034912,0.0056533086847568295,,,,646,"{'model__colsample_bytree': np.float64(0.7790510010086706), 'model__learning_rate': np.float64(0.02534172484077874), 'model__min_child_samples': 81, 'model__n_estimators': 646, 'model__num_leaves': 59, 'model__reg_lambda': np.float64(0.408829233405028), 'model__subsample': np.float64(0.8785217091359153)}",0.40282753834297785,0.41369613047783577,0.45164043057024694,0.42272136646368685,0.02092471864164443,21,LightGBM,0.7790510010086706,0.02534172484077874,81.0,59.0,0.408829233405028,0.8785217091359153
1.8677872021993,0.4054312233351177,0.16413108507792154,0.0065625532147862145,,,,674,"{'model__colsample_bytree': np.float64(0.7051914615178149), 'model__learning_rate': np.float64(0.05695752881519842), 'model__min_child_samples': 55, 'model__n_estimators': 674, 'model__num_leaves': 39, 'model__reg_lambda': np.float64(3.044124256913331), 'model__subsample': np.float64(0.8779139732158818)}",0.3900199891972973,0.4036108078920244,0.4366245350144212,0.4100851107012476,0.019569250885921985,22,LightGBM,0.7051914615178149,0.05695752881519842,55.0,39.0,3.044124256913331,0.8779139732158818
2.9285403887430825,1.3722122355907163,0.2129670778910319,0.009866618804559767,,,,639,"{'model__colsample_bytree': np.float64(0.855670976374325), 'model__learning_rate': np.float64(0.06168442780928038), 'model__min_child_samples': 142, 'model__n_estimators': 639, 'model__num_leaves': 46, 'model__reg_lambda': np.float64(4.1001216119239405), 'model__subsample': np.float64(0.9659838702175123)}",0.38758298690963655,0.4033075590449049,0.43666313861370804,0.40918456152274985,0.020463295456615557,23,LightGBM,0.855670976374325,0.06168442780928038,142.0,46.0,4.1001216119239405,0.9659838702175123
4.317035675048828,0.4804993189930434,0.16694204012552896,0.006824169196360794,,,,874,"{'model__colsample_bytree': np.float64(0.7989499894055425), 'model__learning_rate': np.float64(0.0835361075531176), 'model__min_child_samples': 59, 'model__n_estimators': 874, 'model__num_leaves': 23, 'model__reg_lambda': np.float64(7.099087496484021), 'model__subsample': np.float64(0.815876852955632)}",0.3846051264984839,0.39943178269066987,0.433961762969979,0.40599955738637755,0.02067802600644808,24,LightGBM,0.7989499894055425,0.0835361075531176,59.0,23.0,7.099087496484021,0.815876852955632
4.108832359313965,1.8551248858492204,0.19196263949076334,0.01665788402691123,,,,642,"{'model__colsample_bytree': np.float64(0.7933755828319241), 'model__learning_rate': np.float64(0.09231139356213623), 'model__min_child_samples': 143, 'model__n_estimators': 642, 'model__num_leaves': 48, 'model__reg_lambda': np.float64(0.5418828399005206), 'model__subsample': np.float64(0.6661067756252009)}",0.36620227838820024,0.37649386715303557,0.4251222502234231,0.3892727985882196,0.025695221173527127,25,LightGBM,0.7933755828319241,0.09231139356213623,143.0,48.0,0.5418828399005206,0.6661067756252009
2.7517830530802407,0.14581276725347214,0.2002119223276774,0.04776284775596407,8,0.5120408127066864,8.0,676,"{'model__max_depth': 8, 'model__max_features': np.float64(0.5120408127066864), 'model__min_samples_leaf': 8, 'model__n_estimators': 676}",0.4353178695628682,0.4577618598040606,0.4685837771923504,0.45388783551975975,0.013854270117183477,1,Random forest,,,,,,
1.803580681482951,0.014801707986752557,0.13841835657755533,0.0009099914721617184,8,0.43124990152394965,57.0,539,"{'model__max_depth': 8, 'model__max_features': np.float64(0.43124990152394965), 'model__min_samples_leaf': 57, 'model__n_estimators': 539}",0.4330481527937832,0.455510579647527,0.47155302890404105,0.4533705871151171,0.01579221426517201,2,Random forest,,,,,,
1.8631303310394287,0.07664131305701057,0.14580400784810385,0.00904956167759011,8,0.23384694741626016,34.0,585,"{'model__max_depth': 8, 'model__max_features': np.float64(0.23384694741626016), 'model__min_samples_leaf': 34, 'model__n_estimators': 585}",0.4320827919140113,0.4557197212460339,0.47129418516591165,0.4530322327753189,0.016120386386993826,3,Random forest,,,,,,
1.7143199443817139,0.04154076343027749,0.1214589277903239,0.005214218174435319,,0.4332063738136892,57.0,416,"{'model__max_depth': None, 'model__max_features': np.float64(0.4332063738136892), 'model__min_samples_leaf': 57, 'model__n_estimators': 416}",0.43167256343514426,0.4547343062584414,0.4717967724019536,0.45273454736517976,0.016441559395354004,4,Random forest,,,,,,
